医学名词（病菌类）,医学名词（细胞类）,医学名词（疾病类）,医学名词（药物类）,医学名词（炎症类）,医学名词（癌症类）,医学名词（其他）,生物名词（动物类）,生物名词（植物类）,生物名词（昆虫类）,生物名词（纤维类）,生物名词（其他）,物理名词,化学名词,化学名词（酶类）,地质名词,其他
 新耐热细菌, 大鼠胰岛素瘤细胞, 血栓, 超微粉通心络, 溃疡性结肠炎, 膀胱癌, 富血小板血浆, 大鼠股骨头, 叶尖, 利什曼属虫种 , 混合纤维, 体腔液, 磁流体, 碲镉汞晶体, 解旋酶, 粘土矿物, 刀片
 樱桃树叶病毒, 缺血骨骼肌细胞, 白血病, 米非司酮, 膝骨关节炎, 肺鳞癌, 月胎儿胆囊微血管, 豚鼠前庭器, 石斛花粉粒, 烟粉虱," 山羊绒纤维
 ", 山羊绒织物, 磁通量, 多晶铜, 氮合酶, 储集层砂岩, 卷烟纸
 白僵菌, 小鼠类巨噬细胞, 肺原性心脏病, 锡类散, 萎缩性胃炎, 口腔鳞癌, 降脂红曲, 成年斑马鱼牙齿, 蕨类植物孢子, 猪蛔虫, 碳纤维, 中毒症胎盘绒毛, 埃瓦尔德球效应, 高Tc超导薄膜, 脱氢酶, 黄土 , 钻石
 鼠疫菌, 绒山蝠肝细胞, 小儿肾小球疾病, 五倍子, 慢性乙型肝炎, 甲状腺髓样癌, 短期糖皮质激素, 金边土鳖, 稻谷, 美洲大蠊, 粘胶纤维, 酵母细胞, 单微粒, 含氟浓度酸蚀液, 酸性磷酸酶, 砂岩储层, 水中尸体
 狂犬病毒, 视网膜色素上皮细胞, 性病, 舒尼替尼, 单纯疱疹病毒脑炎, 食管癌, 马氏体, 家兔, 花粉, 东方次睾吸虫, 棉纤维, 乳胶, 微量附着物, 胶料喷霜, 腺环化酶, 脱水叶腊石, 地方性砷中毒人群头发
 樱桃树叶病毒, 灰鼠内毛细胞, 早期Wilson病, 龟鹿二仙胶, 急性胃肠炎, 大肠癌,  抗菌肽, 大鼠视网膜, 紫花苜蓿, 牦牛皮蝇, 毛纤维, 羊毛织物, 陶瓷材料, 硅化镀膜, 牛肝过氧化氢酶, 钒钛磁铁矿, 足跟部皮肤
 婴儿巨细胞病毒, 牙周膜细胞, 肌肉疾病, 北豆根, 马脑炎病原体,, 进行性神经损害, 恒河猴, 果皮,, 纤维蛋白, 微生物简易标本, 陶瓷坯体, 聚乙烯基纳米, 转谷氨酰胺酶, 组页岩, 手印
 疱疹病毒, 软骨细胞,系统性硬皮病,, 包涵体肌炎,, B超, 棱子蟹壳, 碱蒿,,, 精子, 单原子, 人工冰核粒子, 基质金属蛋白酶, 页岩有机孔, 粪便标本
 猪传染性胃肠炎病毒, 胃癌细胞, 克山病,,,, 无细胞提取液, 山羊皮组织, 麦麸,,, 遗传基因, X射线, 固体催化剂,, 膨润土, 雨雪
 烟草病毒, 损伤区心肌细胞, 出血病,,,, 特异抗原, 露斯塔野鲮, 植物花粉,,, 突触, 光栅沟漕, 彩色显象管内薄膜,, 花岗石, 细胞彩照
 动物病毒, 人肝双核细胞, 男性冠心病,,,,, 鸡, 破壁松花粉,,, 鱼卵带超微结, 回火态物, 聚硅酸金属盐,, 水稻土, 含病毒粪便
 患者粪便中病毒, 恶性黑色素瘤细胞, 骨小圆细胞肉瘤,,,,,大鼠大脑, 孢子丝,,, 弓状核, 水泥砂浆, 低氟溶胶,, 辉钼矿, 焚烧牙齿
 阴道乳头瘤病毒, 红细胞, 蕈样肉芽肿,,,,, 绵羊精子, 谷核,,,, 液压系统, 聚芳醚酮 ,, 铅矿族矿物, 人造奶油
 阴道宫颈乳头瘤病毒, 免疫细胞, 骨巨细胞瘤,,,,, 节肢动物, 红松花粉,,,, 精细陶瓷粉体, 瓦斯,, CuZnAlMnNi记忆合金, 木材
 马立克氏病病毒, 淋巴细胞, 老年性紫斑,,,,, 小鼠染色体, 梨属植物花粉,,,, 高压稳定度, 晶体三维衍射信息,, 辉石, 舌苔
 大蒜病毒, 兔关节软骨细胞, 矽肺结石,,,,, 家鼠雄性生殖细胞,,,,, 红外光谱, 聚苯乙烯,, 羟氯镁铝石, 病理舌象
 蓝舌病病毒, 鼻咽癌细胞,,,,,, 重症肌无力大鼠肌肉线粒体,,,,, 电子象, 纳米级颗粒群,, 矿族矿物, 机械
 小麦花叶病毒, 鼠伤寒沙门氏菌株细胞,,,,,,,,,,, 阴极电子束流, A18Fe4Ce3Ti合金,,, 婴幼儿腹泻粪便
 许兰氏毛癣菌,,,,,,,,,,,, 电路采集电路, 一氧化碳,,, 颗粒谱
 土传小麦花叶病毒,,,,,,,,,,,, 数控车床导轨精度, CuMgO,,, 燕窝
 苏芸金杆菌,,,,,,,,,,,, 40Cr钢断裂韧性, SnO2气敏薄膜,,, 人造奶油
 类B型病毒,,,,,,,,,,,, 修复体, 碳/碳复合材料,,,
 幽门弯曲菌,,,,,,,,,,,, 钒原子, 石墨烯薄膜,,,
 柑桔黄龙病菌,,,,,,,,,,,, 微小雾径, 发光晶体,,,
 他啶抗绿脓杆菌,,,,,,,,,,,, 靶丸表面形貌, 聚丙烯,,,
 带状疱疹病毒,,,,,,,,,,,, 免疫胶体金技术, 聚丙烯腈基碳纤维,,,
 甘蔗白叶病,,,,,,,,,,,, 半导体激光器, 聚丙烯腈纤维,,,
 扩展青霉,,,,,,,,,,,, 固体推进剂, 钙离子,,,
 麻风杆菌,,,,,,,,,,,, 超微结构, 有机硅氧烷,,,
,,,,,,,,,,,, 铸铁中石墨形态, 非晶态催化剂,,,
,,,,,,,,,,,, 集成电路, 非晶态合金,,,
,,,,,,,,,,,, 高聚物断面样品, 高温超导体结构,,,
,,,,,,,,,,,, 稀土镁球墨铸铁组织, 顺丁烯二酸,,,
,,,,,,,,,,,, 显微结构, 氧化膜,,,
,,,,,,,,,,,, 核心复合体, 纽蛋白,,,
,,,,,,,,,,,, 阴极荧光, 直拉硅单晶,,,
,,,,,,,,,,,, 变温装置, 外延生长纳米线,,,
,,,,,,,,,,,, 焊接烟尘, YBaCuO超导薄膜,,,
,,,,,,,,,,,,冷硬树脂砂, 抗凝剂,,,
,,,,,,,,,,,,, 苯乙烯,,,
,,,,,,,,,,,,, 合胞体,,,
,,,,,,,,,,,,, 人造金刚石,,,
,,,,,,,,,,,,, 接枝侧链聚合物,,,
,,,,,,,,,,,,, 铁碳钼合金,,,
,,,,,,,,,,,,, 核壳胶乳粒,,,
,,,,,,,,,,,,, 硅丙乳液,,,
,,,,,,,,,,,,, 3C-SiC中的硅,,,
,,,,,,,,,,,,, 半导体,,,
,,,,,,,,,,,,, 铂,,,
,,,,,,,,,,,,, 纯钛种植体,,,
,,,,,,,,,,,,, 石墨烯液体,,,
,,,,,,,,,,,,, 福尔马林固定组织,,,
,,,,,,,,,,,,, 棉酚,,,
,,,,,,,,,,,,, 聚丙烯酰胺,,,
,,,,,,,,,,,,, 氧氯化催化剂,,,
,,,,,,,,,,,,, 石墨烯基,,,
,,,,,,,,,,,,, Te-GaAs单晶,,,
,,,,,,,,,,,,, 单体纳米材料,,,
,,,,,,,,,,,,, 铝合金中单层Mg-GP,,,
,,,,,,,,,,,,, 粉煤灰珠状颗粒,,,
,,,,,,,,,,,,, 镀膜技术,,,
,,,,,,,,,,,,, 淀粉—丙烯酰胺接枝聚物,,,
,,,,,,,,,,,,, 热塑性聚氨酯橡胶,,,