id,result,,医学名词,物理名词,地质名词,生物名词,化学名词,其他
0, 磁流体,,,,,（动物）,,
1, 山羊绒纤维,,,,,（植物）,,
2, 刀片,,,,,,,
3, 磁通量,,,,,,,
4, 大鼠胰岛素瘤细胞,,,,,,,
5, 埃瓦尔德球效应,,,,,,,
6, 生物大分子,,,,,,,
7, 粘土矿物,,,,,,,
8, 新耐热细菌,,,,,,,
9, 卷烟纸,,,,,,,
10, 血栓,,,,,,,
11, 碲镉汞晶体,,,,,,,
12, 储集层砂岩,,,,,,,
13, 缺血骨骼肌细胞,,,,,,,
14, 樱桃树叶病毒,,,,,,,
15, 钻石,,,,,,,
16, 多晶铜,,,,,,,
17, 水中尸体,,,,,,,
18, 中药制剂,,,,,,,
19, 单微粒,,,,,,,
20, 黄土 ,,,,,,,
21, 砂岩储层,,,,,,,
22, 高Tc超导薄膜,,,,,,,
23, 含氟浓度酸蚀液,,,,,,,
24, 叶尖,,,,,,,
25, 石斛花粉粒,,,,,,,
26, 小鼠类巨噬细胞,,,,,,,
27, 蕨类植物孢子,,,,,,,
28, 胶料喷霜,,,,,,,
29, 食管癌,,,,,,,
30, 微量附着物,,,,,,,
31, 绒山蝠肝细胞,,,,,,,
32, 大鼠股骨头,,,,,,,
33, 酸性磷酸酶,,,,,,,
34, 脱水叶腊石,,,,,,,
35, 钒钛磁铁矿,,,,,,,
36, 涎腺肌上皮瘤,,,,,,,
37, 视网膜色素上皮细胞,,,,,,,
38, 硅化镀膜,,,,,,,
39, 组页岩,,,,,,,
40, 豚鼠前庭器,,,,,,,
41, 有机孔,,,,,,,
42, 稻谷,,,,,,,
43, 膝骨关节炎,,,,,,,
44, 花粉,,,,,,,
45, 紫花苜蓿,,,,,,,
46, 地方性砷中毒人群头发,,,,,,,
47, 五倍子,,,,,,,
48, 富血小板血浆,,,,,,,
49, 成年斑马鱼牙齿,,,,,,,
50, 月胎儿胆囊微血管,,,,,,,
51, 果皮,,,,,,,
52, 灰鼠内毛细胞,,,,,,,
53, 烟粉虱,,,,,,,
54, 猪蛔虫,,,,,,,
55, 白僵菌,,,,,,,
56, 碱蒿,,,,,,,
57, 鼠疫菌,,,,,,,
58, 红细胞,,,,,,,
59, 美洲大蠊,,,,,,,
60, 足跟部皮肤,,,,,,,
61, 金边土鳖,,,,,,,
62, 陶瓷材料,,,,,,,
63, 食管癌,,,,,,,
64, 麦麸,,,,,,,
65, 聚乙烯基纳米,,,,,,,
66, 陶瓷坯体,,,,,,,
67, 植物花粉,,,,,,,
68, 家兔,,,,,,,
69, 破壁松花粉,,,,,,,
70, 单原子,,,,,,,
71, 手印,,,,,,,
72, X射线,,,,,,,
73, 老年性紫斑,,,,,,,
74, 短期糖皮质激素,,,,,,,
75, 蕈样肉芽肿,,,,,,,
76, 人工冰核粒子,,,,,,,
77, 光栅沟漕,,,,,,,
78, 雨雪,,,,,,,
79, 牦牛皮蝇,,,,,,,
80, 回火态物,,,,,,,
81, 固体催化剂,,,,,,,
82, 彩色显象管内薄膜,,,,,,,
83, 婴儿巨细胞病毒,,,,,,,
84, 水泥砂浆,,,,,,,
85, 液压系统,,,,,,,
86, 混合纤维,,,,,,,
87, 胃癌细胞,,,,,,,
88, 精细陶瓷粉体,,,,,,,
89, 聚硅酸金属盐,,,,,,,
90, 膨润土,,,,,,,
91, 小鼠染色体,,,,,,,
92, 低氟溶胶,,,,,,,
93, 聚芳醚酮 ,,,,,,,
94, 高压稳定度,,,,,,,
95, 类B型病毒颗粒,,,,,,,
96, 红外光谱,,,,,,,
97, 电子象,,,,,,,
98, 白血病,,,,,,,
99, 瓦斯,,,,,,,
100, 阴极电子束流,,,,,,,
101, 电路采集电路,,,,,,,
102, 细胞彩照,,,,,,,
103, 晶体三维衍射信息,,,,,,,
104, 病毒感染细胞包埋技术,,,,,,,
105, 溃疡性结肠炎,,,,,,,
106, 猪传染性胃肠炎病毒,,,,,,,
107, 粪便标本,,,,,,,
108, 云南省烟草病毒,,,,,,,
109, 动物病毒疫苗,,,,,,,
110, 单纯疱疹病毒脑炎,,,,,,,
111, 含病毒粪便,,,,,,,
112, 急性胃肠炎,,,,,,,
113, 患者粪便中病毒,,,,,,,
114, 数控车床导轨精度,,,,,,,
115, 东方次睾吸虫,,,,,,,
116, 樱桃树叶病毒,,,,,,,
117, 狂犬病毒,,,,,,,
118, 聚苯乙烯颗粒,,,,,,,
119, 阴道乳头瘤病毒,,,,,,,
120, 阴道宫颈乳头瘤病毒,,,,,,,
121, 马立克氏病病毒,,,,,,,
122, 焚烧牙齿,,,,,,,
123, 40Cr钢断裂韧性,,,,,,,
124, 牙周膜细胞,,,,,,,
125, 牛肝过氧化氢酶结晶,,,,,,,
126, 钒原子,,,,,,,
127, 纳米级颗粒群,,,,,,,
128, 微小雾径,,,,,,,
129, 大蒜病毒,,,,,,,
130, 靶丸表面形貌,,,,,,,
131, 大鼠视网膜,,,,,,,
132, 木材,,,,,,,
133, A18Fe4Ce3Ti合金,,,,,,,
134, 一氧化碳,,,,,,,
135, CuMgO,,,,,,,
136, SnO2气敏薄膜,,,,,,,
137, 蓝舌病病毒,,,,,,,
138, 碳/碳复合材料,,,,,,,
139, 乳胶,,,,,,,
140, 人造奶油,,,,,,,
141, 修复体,,,,,,,
142, 舌苔,,,,,,,
143, 免疫胶体金技术,,,,,,,
144, 半导体激光器,,,,,,,
145, 发光晶体,,,,,,,
146, 病理舌象,,,,,,,
147, 固体推进剂,,,,,,,
148, 土传小麦花叶病毒,,,,,,,
149, 大肠癌患者结肠粘膜,,,,,,,
150, 小麦花叶病毒,,,,,,,
151, 许兰氏毛癣菌,,,,,,,
152, 恒河猴,,,,,,,
153, 慢性乙型肝炎,,,,,,,
154, 有机硅氧烷,,,,,,,
155, 机械,,,,,,,
156, 棉纤维,,,,,,,
157, 棱子蟹壳,,,,,,,
158, 氧化膜,,,,,,,
159, 水稻土,,,,,,,
160, 山羊皮组织,,,,,,,
161, 顺丁烯二酸,,,,,,,
162, 非晶态金属,,,,,,,
163, 矿族矿物,,,,,,,
164, 碳纤维,,,,,,,
165, 类B型病毒,,,,,,,
166, 粘胶,,,,,,,
167, 纽蛋白,,,,,,,
168, 羊毛织物,,,,,,,
169, 聚丙烯,,,,,,,
170, 聚丙烯腈基碳纤维,,,,,,,
171, 聚丙烯腈纤维,,,,,,,
172, 钙离子,,,,,,,
173, 花岗石,,,,,,,
174, 苏芸金杆菌,,,,,,,
175, 超微结构,,,,,,,
176, 辉钼矿,,,,,,,
177, 进行性神经损害,,,,,,,
178, 直拉硅单晶,,,,,,,
179, 酵母细胞,,,,,,,
180, 铅矿族矿物,,,,,,,
181, 铸铁中石墨形态,,,,,,,
182, 集成电路,,,,,,,
183, 露斯塔野鲮,,,,,,,
184, 非晶态催化剂,,,,,,,
185, 非晶态合金,,,,,,,
186, 高温超导体结构,,,,,,,
187, 鸡,,,,,,,
188,大鼠大脑,,,,,,,
189, 外延生长纳米线,,,,,,,
190, 脱水叶腊石结构,,,,,,,
191, 免疫细胞,,,,,,,
192, B超,,,,,,,
193, CuZnAlMnNi记忆合金,,,,,,,
194, 柑桔黄龙病,,,,,,,
195, YBaCuO超导薄膜,,,,,,,
196, 抗凝剂,,,,,,,
197, 中毒症胎盘绒毛,,,,,,,
198, 人肝双核细胞,,,,,,,
199, 人造金刚石,,,,,,,
200, 他啶抗绿脓杆菌,,,,,,,
201, 克山病,,,,,,,
202, 冷硬呋喃砂,,,,,,,
203, 出血病,,,,,,,
204, 分子结构,,,,,,,
205, 婴幼儿腹泻粪便,,,,,,,
206, 萎缩性胃炎,,,,,,,
207, 孢子丝,,,,,,,
208, 幽门弯曲菌,,,,,,,
209, 微生物简易标本,,,,,,,
210, 心房特殊颗粒,,,,,,,
211, 抗菌肽抗菌机理,,,,,,,
212, 损伤区心肌细胞,,,,,,,
213, 接枝侧链聚合物长度,,,,,,,
214, 铁碳钼合金,,,,,,,
215, 新生儿气管导管表面细菌生物膜,,,,,,,
216, 无细胞提取液,,,,,,,
217, 节肢动物,,,,,,,
218, 显微结构,,,,,,,
219, 精子,,,,,,,
220, 果树样品,,,,,,,
221, 核心复合体,,,,,,,
222, 棉酚,,,,,,,
223, 植物亚显微结构,,,,,,,
224, 带状疱疹病毒,,,,,,,
225, 毛纤维,,,,,,,
226, 淋巴细胞,,,,,,,
227, 烧伤皮肤微血管,,,,,,,
228, 热塑性聚氨酯橡胶,,,,,,,
229, 特异抗原,,,,,,,
230, 甘蔗白叶病,,,,,,,
231, 甲状腺髓样癌,,,,,,,
232, 病毒感染细胞包埋技术,,,,,,,
233, 石墨烯液体池中水,,,,,,,
234, 福尔马林固定组织,,,,,,,
235, 稀土镁球墨铸铁组织,,,,,,,
236, 红松花粉发芽,,,,,,,
237, 红细胞,,,,,,,
238, 纤维蛋白,,,,,,,
239, 组特异抗原,,,,,,,
240, 细针吸肺标本,,,,,,,
241, 绵羊精子,,,,,,,
242, 肺原性心脏病,,,,,,,
243, 脱氢酶,,,,,,,
244, 苯乙烯,,,,,,,
245, 合胞体,,,,,,,
246, 谷核,,,,,,,
247, 遗传基因,,,,,,,
248, 重症肌无力大鼠肌肉线粒体,,,,,,,
249, 突触,,,,,,,
250, 铂,,,,,,,
251, 男性冠心病,,,,,,,
252, 锡类散,,,,,,,
253, 阴极荧光,,,,,,,
254, 脱氢酶,,,,,,,
255, 马氏体,,,,,,,
256, 马脑炎病原体,,,,,,,
257, 骨巨细胞瘤,,,,,,,
258, 高聚物断面样品,,,,,,,
259, 鱼卵带超微结,,,,,,,
260, 鼠伤寒沙门氏菌株细胞,,,,,,,
261, 聚丙烯酰胺,,,,,,,
262, 颗粒谱,,,,,,,
263,系统性硬皮病,,,,,,,
264, 麻风杆菌,,,,,,,
265, 燕窝,,,,,,,
266, 小儿肾小球疾病,,,,,,,
267, 性病,,,,,,,
268, 早期Wilson病,,,,,,,
269, 肌肉疾病,,,,,,,
270, 焊接烟尘,,,,,,,
271, 恶性黑色素瘤细胞,,,,,,,
272, 骨小圆细胞肉瘤,,,,,,,
273, 3C-SiC中的硅,,,,,,,
274, 半导体,,,,,,,
275, 单体纳米材料,,,,,,,
276, 山羊绒织物,,,,,,,
277, 铝合金中单层Mg-GP,,,,,,,
278, 粉煤灰珠状颗粒,,,,,,,
279, 弓状核,,,,,,,
280, 淀粉—丙烯酰胺接枝聚物,,,,,,,
281, 利什曼属虫种 ,,,,,,,
282, 镀膜技术,,,,,,,
283, 变温装置,,,,,,,
284, 石墨烯薄膜,,,,,,,
285, 人造奶油,,,,,,,
286, 腺环化酶,,,,,,,
287, 矽肺结石,,,,,,,
288,家鼠雄性生殖细胞,,,,,,,
289, 绵羊精子,,,,,,,
290, 核壳胶乳粒,,,,,,,
291, 硅丙乳液,,,,,,,
292, 氧氯化催化剂,,,,,,,
293, 石墨烯基,,,,,,,
294, Te-GaAs单晶,,,,,,,
295, 辉石,,,,,,,
296, 扩展青霉,,,,,,,
297, 纯钛种植体,,,,,,,
298, 羟氯镁铝石,,,,,,,
299, 降脂红曲,,,,,,,